[2020-01-29 11:54:32] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 11:54:33] 
[2020-01-29 11:54:33] 11:54:32      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 11:57:15] 11:57:15    20001     22897     19.00      0.00 1747896  550020   4.48  node /users/dyv
[2020-01-29 11:57:16] 11:57:16    20001     22897     33.00      0.00 1747896  550020   4.48  node /users/dyv
[2020-01-29 11:57:17] 11:57:17    20001     22897     23.00      0.00 1747896  550020   4.48  node /users/dyv
[2020-01-29 11:57:18] 11:57:18    20001     22897      1.00      0.00 1747896  550020   4.48  node /users/dyv
[2020-01-29 11:57:19] 11:57:19    20001     22897      1.00      0.00 1747896  550020   4.48  node /users/dyv
[2020-01-29 11:57:20] 11:57:20    20001     22897     24.00      0.00 1747896  547288   4.46  node /users/dyv
[2020-01-29 11:57:21] 11:57:21    20001     22897     79.00      0.00 1747896  546476   4.45  node /users/dyv
[2020-01-29 11:57:22] 11:57:22    20001     22897    172.00      0.00 1747896  546992   4.45  node /users/dyv
[2020-01-29 11:57:23] 11:57:23    20001     22897    200.00      0.00 1747896  546784   4.45  node /users/dyv
[2020-01-29 11:57:24] 11:57:24    20001     22897    306.00      0.00 1747896  546768   4.45  node /users/dyv
[2020-01-29 11:57:25] 11:57:25    20001     22897    159.00      0.00 1747896  547296   4.46  node /users/dyv
[2020-01-29 11:57:26] 11:57:26    20001     22897    213.00      0.00 1747896  547120   4.45  node /users/dyv
[2020-01-29 11:57:27] 11:57:27    20001     22897   1697.00      0.00 1750968  551660   4.49  node /users/dyv
[2020-01-29 11:57:28] 11:57:28    20001     22897      7.00      0.00 1750968  551660   4.49  node /users/dyv
[2020-01-29 11:57:29] 11:57:29    20001     22897    175.00      0.00 1750968  552452   4.50  node /users/dyv
[2020-01-29 11:57:30] 11:57:30    20001     22897   5616.00      0.00 1751992  557300   4.54  node /users/dyv
[2020-01-29 11:57:31] 11:57:31    20001     22897     12.00      0.00 1751992  557316   4.54  node /users/dyv
[2020-01-29 11:57:32] 11:57:32    20001     22897     15.00      0.00 1751992  557316   4.54  node /users/dyv
[2020-01-29 11:57:33] 11:57:33    20001     22897    504.00      0.00 1751992  559136   4.55  node /users/dyv
[2020-01-29 11:57:34] 11:57:34    20001     22897      1.00      0.00 1751992  559136   4.55  node /users/dyv
[2020-01-29 11:57:35] 11:57:35    20001     22897      1.00      0.00 1751992  559136   4.55  node /users/dyv
[2020-01-29 11:57:36] 11:57:36    20001     22897     13.00      0.00 1751992  559136   4.55  node /users/dyv
[2020-01-29 11:57:37] 11:57:37    20001     22897     28.00      0.00 1750968  558132   4.54  node /users/dyv
[2020-01-29 11:57:38] 11:57:38    20001     22897      1.00      0.00 1750968  558132   4.54  node /users/dyv
[2020-01-29 11:57:39] 11:57:39    20001     22897      1.00      0.00 1750968  558132   4.54  node /users/dyv
[2020-01-29 11:57:40] 11:57:40    20001     22897   3569.00      0.00 1750968  558812   4.55  node /users/dyv
[2020-01-29 11:57:41] 11:57:41    20001     22897   2487.00      0.00 1750968  558828   4.55  node /users/dyv
[2020-01-29 11:57:42] 11:57:42    20001     22897   6291.00      0.00 1750968  558828   4.55  node /users/dyv
[2020-01-29 11:57:43] 11:57:43    20001     22897     24.00      0.00 1750968  558828   4.55  node /users/dyv
[2020-01-29 11:57:44] 11:57:44    20001     22897    133.00      0.00 1750968  558832   4.55  node /users/dyv
[2020-01-29 11:57:45] 11:57:45    20001     22897      0.00      0.00 1750968  558832   4.55  node /users/dyv
[2020-01-29 11:57:46] 11:57:46    20001     22897      3.00      0.00 1750968  558832   4.55  node /users/dyv
[2020-01-29 11:57:47] 11:57:47    20001     22897      1.00      0.00 1750968  558832   4.55  node /users/dyv
[2020-01-29 11:57:48] 11:57:48    20001     22897     95.00      0.00 1750968  558832   4.55  node /users/dyv
[2020-01-29 11:57:49] 11:57:49    20001     22897      8.00      0.00 1750968  558832   4.55  node /users/dyv
[2020-01-29 11:57:50] 11:57:50    20001     22897      0.00      0.00 1750968  558832   4.55  node /users/dyv
[2020-01-29 11:57:51] 11:57:51    20001     22897      1.00      0.00 1750968  558832   4.55  node /users/dyv
[2020-01-29 11:57:52] 11:57:52    20001     22897     75.00      0.00 1750968  558836   4.55  node /users/dyv
[2020-01-29 11:57:53] 11:57:53    20001     22897    196.00      0.00 1749944  557812   4.54  node /users/dyv
[2020-01-29 11:57:54] 11:57:54    20001     22897      1.00      0.00 1749944  557812   4.54  node /users/dyv
[2020-01-29 11:57:55] 11:57:55    20001     22897      1.00      0.00 1749944  557812   4.54  node /users/dyv
[2020-01-29 11:57:56] 11:57:56    20001     22897     12.00      0.00 1749944  557812   4.54  node /users/dyv
[2020-01-29 11:57:57] 11:57:57    20001     22897    222.00      0.00 1750456  558428   4.55  node /users/dyv
[2020-01-29 11:57:58] 11:57:58    20001     22897      0.00      0.00 1750456  558428   4.55  node /users/dyv
[2020-01-29 11:57:59] 11:57:59    20001     22897      1.00      0.00 1750456  558428   4.55  node /users/dyv
[2020-01-29 11:58:00] 11:58:00    20001     22897  17657.00      0.00 1748408  564476   4.60  node /users/dyv
[2020-01-29 11:58:01] 11:58:01    20001     22897   4576.00      0.00 1748408  564476   4.60  node /users/dyv
[2020-01-29 11:58:02] 11:58:02    20001     22897      1.00      0.00 1748408  564476   4.60  node /users/dyv
[2020-01-29 11:58:03] 11:58:03    20001     22897      0.99      0.00 1748408  564476   4.60  node /users/dyv
[2020-01-29 11:58:04] 11:58:04    20001     22897      2.00      0.00 1748408  564476   4.60  node /users/dyv
[2020-01-29 11:58:05] 11:58:05    20001     22897    937.00      0.00 1751992  567724   4.62  node /users/dyv
[2020-01-29 11:58:06] 11:58:06    20001     22897    126.00      0.00 1751992  567724   4.62  node /users/dyv
[2020-01-29 11:58:07] 11:58:07    20001     22897      0.00      0.00 1751992  567724   4.62  node /users/dyv
[2020-01-29 11:58:08] 11:58:08    20001     22897     91.00      0.00 1752504  567984   4.62  node /users/dyv
[2020-01-29 11:58:09] 11:58:09    20001     22897     39.00      0.00 1752504  567984   4.62  node /users/dyv
[2020-01-29 11:58:10] 11:58:10    20001     22897      2.00      0.00 1752504  567984   4.62  node /users/dyv
[2020-01-29 11:58:11] 11:58:11    20001     22897      2.00      0.00 1752504  567984   4.62  node /users/dyv
[2020-01-29 11:58:12] 11:58:12    20001     22897      1.00      0.00 1752504  567984   4.62  node /users/dyv
[2020-01-29 11:58:13] 11:58:13    20001     22897      0.00      0.00 1752504  567984   4.62  node /users/dyv
[2020-01-29 11:58:14] 11:58:14    20001     22897      2.00      0.00 1752504  567984   4.62  node /users/dyv
[2020-01-29 11:58:15] 11:58:15    20001     22897      2.00      0.00 1752504  567984   4.62  node /users/dyv
[2020-01-29 11:58:16] 11:58:16    20001     22897      0.00      0.00 1752504  567984   4.62  node /users/dyv
[2020-01-29 11:58:17] 11:58:17    20001     22897      0.00      0.00 1752504  567984   4.62  node /users/dyv
[2020-01-29 11:58:18] 11:58:18    20001     22897    774.00      0.00 1753016  554492   4.51  node /users/dyv
[2020-01-29 11:58:19] 11:58:19    20001     22897      8.00      0.00 1753016  554492   4.51  node /users/dyv
[2020-01-29 11:58:20] 11:58:20    20001     22897    440.00      0.00 1754040  556332   4.53  node /users/dyv
