[2020-01-29 14:02:20] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 14:02:21] 
[2020-01-29 14:02:21] 14:02:20      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 14:04:44] 14:04:44    20001     22897    161.00      0.00 1688812  492136   4.01  node /users/dyv
[2020-01-29 14:04:45] 14:04:45    20001     22897    143.00      0.00 1688812  492664   4.01  node /users/dyv
[2020-01-29 14:04:46] 14:04:46    20001     22897    203.00      0.00 1688812  493448   4.02  node /users/dyv
[2020-01-29 14:04:47] 14:04:47    20001     22897    134.00      0.00 1688812  493972   4.02  node /users/dyv
[2020-01-29 14:04:48] 14:04:48    20001     22897    149.00      0.00 1688812  494500   4.03  node /users/dyv
[2020-01-29 14:04:49] 14:04:49    20001     22897    154.00      0.00 1688812  495028   4.03  node /users/dyv
[2020-01-29 14:04:50] 14:04:50    20001     22897    135.00      0.00 1688812  495820   4.04  node /users/dyv
[2020-01-29 14:04:51] 14:04:51    20001     22897    149.00      0.00 1688812  496348   4.04  node /users/dyv
[2020-01-29 14:04:52] 14:04:52    20001     22897    133.00      0.00 1688812  496876   4.04  node /users/dyv
[2020-01-29 14:04:53] 14:04:53    20001     22897    150.00      0.00 1688812  497404   4.05  node /users/dyv
[2020-01-29 14:04:54] 14:04:54    20001     22897    132.00      0.00 1688812  497932   4.05  node /users/dyv
[2020-01-29 14:04:55] 14:04:55    20001     22897    158.00      0.00 1688812  498460   4.06  node /users/dyv
[2020-01-29 14:04:56] 14:04:56    20001     22897    142.57      0.00 1688812  499252   4.06  node /users/dyv
[2020-01-29 14:04:57] 14:04:57    20001     22897    134.00      0.00 1688812  499780   4.07  node /users/dyv
[2020-01-29 14:04:58] 14:04:58    20001     22897    157.00      0.00 1688812  500308   4.07  node /users/dyv
[2020-01-29 14:04:59] 14:04:59    20001     22897    132.00      0.00 1688812  500836   4.08  node /users/dyv
[2020-01-29 14:05:00] 14:05:00    20001     22897   1113.00      0.00 1690348  489140   3.98  node /users/dyv
[2020-01-29 14:05:01] 14:05:01    20001     22897    140.00      0.00 1690348  489660   3.99  node /users/dyv
[2020-01-29 14:05:02] 14:05:02    20001     22897    109.00      0.00 1690348  490188   3.99  node /users/dyv
[2020-01-29 14:05:03] 14:05:03    20001     22897      0.00      0.00 1690348  490188   3.99  node /users/dyv
[2020-01-29 14:05:04] 14:05:04    20001     22897      9.00      0.00 1690348  490188   3.99  node /users/dyv
[2020-01-29 14:05:05] 14:05:05    20001     22897     21.00      0.00 1690348  490188   3.99  node /users/dyv
[2020-01-29 14:05:06] 14:05:06    20001     22897     31.00      0.00 1690348  490440   3.99  node /users/dyv
[2020-01-29 14:05:07] 14:05:07    20001     22897      0.00      0.00 1690348  490440   3.99  node /users/dyv
[2020-01-29 14:05:08] 14:05:08    20001     22897    115.00      0.00 1690348  490704   3.99  node /users/dyv
[2020-01-29 14:05:09] 14:05:09    20001     22897    146.00      0.00 1690348  491496   4.00  node /users/dyv
[2020-01-29 14:05:10] 14:05:10    20001     22897      0.00      0.00 1690348  491496   4.00  node /users/dyv
[2020-01-29 14:05:11] 14:05:11    20001     22897     42.00      0.00 1690348  491496   4.00  node /users/dyv
[2020-01-29 14:05:12] 14:05:12    20001     22897    131.00      0.00 1690348  492024   4.01  node /users/dyv
[2020-01-29 14:05:13] 14:05:13    20001     22897     93.00      0.00 1690348  489524   3.98  node /users/dyv
[2020-01-29 14:05:14] 14:05:14    20001     22897      0.00      0.00 1690348  489524   3.98  node /users/dyv
[2020-01-29 14:05:15] 14:05:15    20001     22897    148.00      0.00 1690348  490052   3.99  node /users/dyv
[2020-01-29 14:05:16] 14:05:16    20001     22897    154.00      0.00 1690348  490580   3.99  node /users/dyv
[2020-01-29 14:05:17] 14:05:17    20001     22897    135.00      0.00 1690348  491108   4.00  node /users/dyv
[2020-01-29 14:05:18] 14:05:18    20001     22897    161.00      0.00 1690348  491900   4.00  node /users/dyv
[2020-01-29 14:05:19] 14:05:19    20001     22897    136.00      0.00 1690348  492428   4.01  node /users/dyv
[2020-01-29 14:05:20] 14:05:20    20001     22897    163.00      0.00 1690348  492956   4.01  node /users/dyv
[2020-01-29 14:05:21] 14:05:21    20001     22897    132.00      0.00 1690348  493484   4.02  node /users/dyv
[2020-01-29 14:05:22] 14:05:22    20001     22897    165.00      0.00 1690348  494276   4.02  node /users/dyv
[2020-01-29 14:05:23] 14:05:23    20001     22897    133.00      0.00 1690348  494804   4.03  node /users/dyv
[2020-01-29 14:05:24] 14:05:24    20001     22897    165.00      0.00 1690348  495332   4.03  node /users/dyv
[2020-01-29 14:05:25] 14:05:25    20001     22897    164.00      0.00 1690348  496124   4.04  node /users/dyv
[2020-01-29 14:05:26] 14:05:26    20001     22897    139.00      0.00 1690348  496652   4.04  node /users/dyv
